Term,Course,Section,CRN,Name,A,B,C,D,F,I,NR,S,U,V,W,Total,Class Size Group,Calculated GPA,Level
201305,AE 2698,SCH,56847,"Schrage,Daniel P",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 2698,YU,56823,"Yu,Minfeng",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 2699,KOM,56842,"Komerath,Narayanan M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 3021,RUF,56782,"Ruffin,Stephen M",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,AE 3515,CLA,56785,"Clarke,John-Paul B",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,AE 4220,HOD,56781,"Hodges,Dewey H",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,AE 4220,SMI,56780,"Smith,Marilyn J",,,100%,,,,,,,,,100%,Very Small (Fewer than 10 students),2.00,Undergraduate
201305,AE 4350,WES,56784,"Weston,Neil R",,,100%,,,,,,,,,100%,Very Small (Fewer than 10 students),2.00,Undergraduate
201305,AE 4698,LIE,53109,"Lieuwen,Timothy Charles",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4698,PRI,56824,"Pritchett,Amy R",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4698,RUZ,56728,"Ruzzene,Massimo",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4698,SCH,52553,"Schrage,Daniel P",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4698,SMI,54458,"Smith,Marilyn J",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4699,CLA,56733,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 4699,KAR,56682,"Kardomateas,George",,,,,,100%,,,,,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4699,LIE,52533,"Lieuwen,Timothy Charles",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 4699,PRI,52459,"Pritchett,Amy R",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,AE 4699,R2,56617,"Hodges,Dewey H",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 4699,RIM,55345,"Rimoli,Julian Jose",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 4699,RUF,52640,"Ruffin,Stephen M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 4699,RUZ,52411,"Ruzzene,Massimo",,,,,,100%,,,,,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,AE 4699,SAN,52046,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,AE 7000,COS,53299,"Costello,Mark Francis",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,FER,53140,"Feron,Eric Marie J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,HOL,51575,"Holzinger,Marcus J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,JOH,51057,"Johnson,Eric N",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,MEL,56916,"Mello,Michael",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,MEN,50871,"Menon,Suresh",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,PRA,52400,"Prasad,Jonnalagadda V R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,QP1,56917,"Prasad,Jonnalagadda V R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,SAN,52628,"Sankar,Lakshmi N",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,WAL,52645,"Walker II,Mitchell L.R.",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 7000,ZIN,52393,"Zinn,Ben T",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 8801,KOM,56827,"Komerath,Narayanan M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,AE 8803,QSA,54005,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
