Term,Course,Section,CRN,Name,A,B,C,D,F,I,NR,S,U,V,W,Total,Class Size,Calculated GPA,Level
201308,ACCT 2101,TSB,81404,"Kuang,Xi",48%,28%,8%,8%,3%,,,3%,,,5%,100%,Large (31-49 students),3.19,Undergraduate
201308,ACCT 2101,TSH,91058,"Kuang,Xi",50%,30%,11%,2%,,,,2%,,,6%,100%,Very Large (50 students or more),3.39,Undergraduate
201308,ACCT 2101,TSG,91051,"Venkataraman,Shankar",31%,37%,26%,,1%,,,,1%,,3%,100%,Very Large (50 students or more),3.00,Undergraduate
201308,ACCT 2101,TSF,84668,"Turner,James Milton",39%,29%,19%,6%,1%,,,,,1%,4%,100%,Very Large (50 students or more),3.04,Undergraduate
201308,ACCT 2101,TSD,81405,"Turner,James Milton",49%,36%,7%,4%,,,,,,,4%,100%,Very Large (50 students or more),3.35,Undergraduate
201308,ACCT 2101,TSE,84667,"Turner,James Milton",51%,34%,9%,4%,1%,,,,,,,100%,Very Large (50 students or more),3.30,Undergraduate
201308,ACCT 2102,TSA,81406,"Vitalis,Adam Micah",33%,19%,19%,14%,,,,,,,14%,100%,Mid-size (21-30 students),2.83,Undergraduate
201308,ACCT 2102,TSB,81407,"Vitalis,Adam Micah",37%,36%,13%,9%,3%,,,,,,1%,100%,Very Large (50 students or more),2.97,Undergraduate
201308,ACCT 2102,TSC,84651,"Vitalis,Adam Micah",37%,36%,19%,5%,1%,,,,,,1%,100%,Very Large (50 students or more),3.04,Undergraduate
201308,AE 1350,A,80002,"Pritchett,Amy R",31%,50%,15%,2%,,,,,,,2%,100%,Large (31-49 students),3.13,Undergraduate
201308,AE 1350,B,81828,"Prasad,Jonnalagadda V R",25%,44%,21%,,,,,,,,10%,100%,Large (31-49 students),3.05,Undergraduate
201308,AE 1350,C,84661,"Spencer,David A",43%,24%,22%,,2%,,,,,,8%,100%,Large (31-49 students),3.16,Undergraduate
201308,AE 1355,CLA,89471,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 1355,MAV,84201,"Johnson,Carl C",100%,,,,,,,,,,,100%,Mid-size (21-30 students),4.00,Undergraduate
201308,AE 2020,A,80005,"Komerath,Narayanan M",32%,32%,17%,13%,2%,,,,,,4%,100%,Large (31-49 students),2.82,Undergraduate
201308,AE 2020,B,81830,"Funk,Robert B",29%,29%,31%,2%,4%,,,,,,5%,100%,Very Large (50 students or more),2.83,Undergraduate
201308,AE 2220,A,80004,"Saleh,Joseph Homer",31%,24%,28%,5%,8%,,,,,,4%,100%,Very Large (50 students or more),2.68,Undergraduate
201308,AE 2355,CLA,89472,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2355,MAV,84202,"Johnson,Carl C",100%,,,,,,,,,,,100%,Small (10-20 students),4.00,Undergraduate
201308,AE 2699,CLA,84276,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,RIM,87999,"Rimoli,Julian Jose",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,RUF,85225,"Ruffin,Stephen M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,SAN,86027,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,SCA,87451,"Scarborough,David",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,YAN,90831,"Yang,Vigor",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,FER,87547,"Feron,Eric Marie J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,COS,85697,"Costello,Mark Francis",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,LIE,86634,"Lieuwen,Timothy Charles",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,HOL,91352,"Holzinger,Marcus J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,KOM,86614,"Komerath,Narayanan M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 2699,SPE,90856,"Spencer,David A",82%,18%,,,,,,,,,,100%,Small (10-20 students),3.82,Undergraduate
201308,AE 2699,MAV,85309,"Mavris,Dimitri",100%,,,,,,,,,,,100%,Mid-size (21-30 students),4.00,Undergraduate
201308,AE 3021,A,81831,"Ruffin,Stephen M",21%,29%,33%,12%,4%,,,,,,1%,100%,Very Large (50 students or more),2.52,Undergraduate
201308,AE 3051,C,80454,"Seitzman,Jerry M",60%,20%,20%,,,,,,,,,100%,Small (10-20 students),3.40,Undergraduate
